# beta  beta  delta  delta  beta  delta  energy
1.193754948225353918e-03 1.193754948225353918e-03 3.919215526372069394e-03 3.919215526372069394e-03 1.193754948225353918e-03 3.919215526372069394e-03 2.866966303090727592e+02
1.193681356523642679e-03 1.193681356523642679e-03 3.918393031232406468e-03 3.918393031232406468e-03 1.193681356523642679e-03 3.918393031232406468e-03 2.867232963110668038e+02
1.193607771840842499e-03 1.193607771840842499e-03 3.917570089125970920e-03 3.917570089125970920e-03 1.193607771840842499e-03 3.917570089125970920e-03 2.867499623130607915e+02
1.193534194366990169e-03 1.193534194366990169e-03 3.916746681465026365e-03 3.916746681465026365e-03 1.193534194366990169e-03 3.916746681465026365e-03 2.867766283150548361e+02
1.193460624394208783e-03 1.193460624394208783e-03 3.915922789146676457e-03 3.915922789146676457e-03 1.193460624394208783e-03 3.915922789146676457e-03 2.868032943170488807e+02
1.193387062380523887e-03 1.193387062380523887e-03 3.915098392519162675e-03 3.915098392519162675e-03 1.193387062380523887e-03 3.915098392519162675e-03 2.868299603190428684e+02
1.193313509011293067e-03 1.193313509011293067e-03 3.914273471361031168e-03 3.914273471361031168e-03 1.193313509011293067e-03 3.914273471361031168e-03 2.868566263210369129e+02
1.193239965279486352e-03 1.193239965279486352e-03 3.913448004858583948e-03 3.913448004858583948e-03 1.193239965279486352e-03 3.913448004858583948e-03 2.868832923230309007e+02
1.193166432607423036e-03 1.193166432607423036e-03 3.912621971605165054e-03 3.912621971605165054e-03 1.193166432607423036e-03 3.912621971605165054e-03 2.869099583250249452e+02
1.193092912976308250e-03 1.193092912976308250e-03 3.911795349653099038e-03 3.911795349653099038e-03 1.193092912976308250e-03 3.911795349653099038e-03 2.869366243270189329e+02
