beta_P3HTpara beta_P3HTperp delta_P3HT_para delta_P3HTperp delta_P3HT beta_P3HT energy_P3HT
0.00403773 0.00403773 0.024901589 0.025021173 0.027882334 0.004697983 84.4827
0.003844809 0.003844809 0.024101998 0.024218148 0.027000051 0.004473516 85.8491
0.003661271 0.003661271 0.023326645 0.023439519 0.026143875 0.004259965 87.2377
0.003486501 0.003486501 0.022575128 0.022684778 0.025313231 0.004056616 88.6487
0.003320049 0.003320049 0.021846524 0.021953101 0.024507336 0.003862946 90.0825
0.003161445 0.003161445 0.021140233 0.021243817 0.023725483 0.003678408 91.5395
0.003010154 0.003010154 0.020455312 0.020556026 0.022966707 0.003502376 93.0201
0.002866218 0.002866218 0.019791146 0.01988908 0.022230329 0.003334904 94.5246
0.002729264 0.002729264 0.019147284 0.019242497 0.021515874 0.003175555 96.0535
0.002598952 0.002598952 0.018523202 0.018615795 0.020822859 0.003023934 97.6071
0.002474957 0.002474957 0.017918657 0.018008738 0.020151184 0.002879664 99.1858
0.002355816 0.002355816 0.01733285 0.017420492 0.019499949 0.002741041 100.79
0.002241358 0.002241358 0.016764173 0.016849449 0.018867179 0.002607867 102.42
0.002132552 0.002132552 0.016211698 0.016294681 0.018251928 0.002481269 104.077
0.002029092 0.002029092 0.015675706 0.015756467 0.017654633 0.002360891 105.76
0.001930903 0.001930903 0.015155157 0.015233785 0.017074136 0.002246645 107.471
0.001838146 0.001838146 0.014650315 0.0147269 0.016510808 0.002138721 109.209
0.001750358 0.001750358 0.014160937 0.014235529 0.015964389 0.002036578 110.975
0.001667035 0.001667035 0.013686574 0.013759221 0.015434428 0.00193963 112.77
0.001587561 0.001587561 0.013226768 0.01329756 0.0149205 0.00184716 114.594
0.001511483 0.001511483 0.01278056 0.012849571 0.014421476 0.001758642 116.448
0.001438994 0.001438994 0.012347607 0.012414893 0.013936945 0.0016743 118.331
0.001369991 0.001369991 0.011927147 0.011992756 0.013466096 0.001594013 120.245
0.001304331 0.001304331 0.011518868 0.011582863 0.013008629 0.001517617 122.19
0.001241862 0.001241862 0.011122429 0.011184874 0.01256418 0.001444932 124.166
0.00118236 0.00118236 0.01073709 0.010798033 0.012131913 0.001375701 126.175
0.001125762 0.001125762 0.010362869 0.010422351 0.011711851 0.001309847 128.215
0.001071884 0.001071884 0.009998849 0.010056963 0.011303012 0.001247159 130.289
0.00102059 0.00102059 0.009645252 0.00970201 0.01090576 0.001187478 132.397
0.000969695 0.000969695 0.009300664 0.009356135 0.010518416 0.001128261 134.538
0.000921298 0.000921298 0.00896331 0.009017542 0.010138757 0.001071949 136.714
0.00087534 0.00087534 0.008633187 0.008686248 0.009767026 0.001018477 138.925
0.000831692 0.000831692 0.008309594 0.008361512 0.009402357 0.000967691 141.172
0.000790236 0.000790236 0.007991483 0.008042319 0.009043593 0.000919456 143.456
0.000750876 0.000750876 0.007677767 0.007727556 0.008689449 0.00087366 145.776
0.000713562 0.000713562 0.007366391 0.007415177 0.008337569 0.000830245 148.134
0.000678241 0.000678241 0.007054685 0.007102517 0.007984876 0.000789148 150.53
0.000644837 0.000644837 0.00673815 0.006785073 0.007626161 0.000750281 152.964
0.000613089 0.000613089 0.00640752 0.006453601 0.0072507 0.000713342 155.439
0.000582935 0.000582935 0.00604183 0.006087089 0.00683407 0.000678257 157.953
0.00055429 0.00055429 0.005562009 0.005606498 0.006284606 0.000644928 160.507
0.000534294 0.000534294 0.004334399 0.004378345 0.004924272 0.000621662 162.4
0.001569993 0.001569993 0.004323121 0.004367013 0.004911816 0.001826719 162.6
0.001558153 0.001558153 0.004983598 0.005027359 0.005619843 0.001812943 163.103
0.00149826 0.00149826 0.005352611 0.005395692 0.006056333 0.001743256 165.742
0.001440804 0.001440804 0.005358601 0.00540104 0.006070797 0.001676406 168.422
0.001385639 0.001385639 0.005291094 0.005332952 0.005999464 0.00161222 171.146
0.001332666 0.001332666 0.005192602 0.005233908 0.005891778 0.001550585 173.915
0.001281844 0.001281844 0.005078301 0.005119119 0.005765438 0.001491452 176.727
0.001233024 0.001233024 0.004955335 0.00499571 0.005628751 0.001434649 179.586
0.001185944 0.001185944 0.004827972 0.004867936 0.005486714 0.001379871 182.491
0.001139744 0.001139744 0.004698576 0.004738206 0.005342217 0.001326116 185.442
0.001093268 0.001093268 0.004567322 0.004606664 0.005195329 0.00127204 188.442
0.001048388 0.001048388 0.004434762 0.004473898 0.005046642 0.001219822 191.489
0.001004533 0.001004533 0.004301685 0.004340652 0.004897189 0.001168795 194.587
0.000962356 0.000962356 0.0041685 0.004207379 0.004747422 0.001119722 197.734
0.000921815 0.000921815 0.004035624 0.004074498 0.004597879 0.001072551 200.932
0.000883055 0.000883055 0.003903321 0.003942255 0.004448855 0.001027453 204.182
0.000845991 0.000845991 0.003771656 0.00381076 0.004300558 0.000984328 207.485
0.000810568 0.000810568 0.003639958 0.003679317 0.004151749 0.000943113 210.84
0.000779871 0.000779871 0.003509449 0.003549191 0.004004468 0.000907396 214.251
0.000751106 0.000751106 0.003381724 0.003421988 0.003860414 0.000873927 217.716
0.000724126 0.000724126 0.003256209 0.003297151 0.003718875 0.000842536 221.237
0.000698424 0.000698424 0.003132665 0.003174474 0.003579635 0.000812631 224.816
0.000673724 0.000673724 0.003010687 0.003053586 0.003442234 0.000783891 228.452
0.000649972 0.000649972 0.002889746 0.002934001 0.003306093 0.000756255 232.147
0.000627124 0.000627124 0.002769353 0.002815298 0.003170705 0.000729671 235.902
0.000605151 0.000605151 0.002648958 0.00269704 0.00303552 0.000704105 239.717
0.000584004 0.000584004 0.002527865 0.002578647 0.002899835 0.000679501 243.595
0.000563425 0.000563425 0.002405244 0.002459491 0.002762887 0.000655557 247.535
0.000542795 0.000542795 0.002279231 0.002337974 0.002622683 0.000631553 251.538
0.000523021 0.000523021 0.002147516 0.002212271 0.002476836 0.000608546 255.607
0.000504077 0.000504077 0.002007526 0.002080567 0.002323021 0.000586505 259.741
0.000502931 0.000502931 0.001998454 0.002072117 0.002313114 0.000585171 260
0.000501608 0.000501608 0.001987891 0.002062302 0.002301595 0.000583631 260.3
0.000500289 0.000500289 0.001977294 0.002052443 0.002290024 0.000582097 260.6
0.000498976 0.000498976 0.001966613 0.002042552 0.002278398 0.000580569 260.9
0.000497667 0.000497667 0.001955899 0.002032612 0.002266716 0.000579045 261.2
0.000496362 0.000496362 0.001945089 0.002022639 0.002254974 0.000577528 261.5
0.000495062 0.000495062 0.001934247 0.00201261 0.002243171 0.000576015 261.8
0.000493767 0.000493767 0.001923297 0.002002546 0.002231304 0.000574509 262.1
