beta_P3HTpara beta_P3HTperp delta_P3HTpara delta_P3HTperp delta_P3HT beta_P3HT energy_P3HT
0.000477573 0.000477573 0.000546268 0.000546268 0.000546268 0.000477573 283.4
0.000475847 0.000475847 0.000541403 0.000541403 0.000541403 0.000475847 283.413
0.000476959 0.000476959 0.000537008 0.000537008 0.000537008 0.000476959 283.425
0.000475554 0.000475554 0.000532196 0.000532196 0.000532196 0.000475554 283.438
0.000476866 0.000476866 0.000527406 0.000527406 0.000527406 0.000476866 283.45
0.000477079 0.000477079 0.000523914 0.000523914 0.000523914 0.000477079 283.462
0.000475957 0.000475957 0.000519457 0.000519457 0.000519457 0.000475957 283.475
0.000475611 0.000475611 0.0005137 0.0005137 0.0005137 0.000475611 283.488
0.000477156 0.000477156 0.000509258 0.000509258 0.000509258 0.000477156 283.5
0.000476737 0.000476737 0.000505679 0.000505679 0.000505679 0.000476737 283.512
0.000475585 0.000475585 0.000500149 0.000500149 0.000500149 0.000475585 283.525
0.000476864 0.000476864 0.000494805 0.000494805 0.000494805 0.000476864 283.538
0.000476822 0.000476822 0.000490532 0.000490532 0.000490532 0.000476822 283.55
0.000476907 0.000476907 0.000485773 0.000485773 0.000485773 0.000476907 283.563
0.000475701 0.000475701 0.000480355 0.000480355 0.000480355 0.000475701 283.575
0.000477734 0.000477734 0.000474912 0.000474912 0.000474912 0.000477734 283.587
0.000478243 0.000478243 0.000470894 0.000470894 0.000470894 0.000478243 283.6
0.000477439 0.000477439 0.000466029 0.000466029 0.000466029 0.000477439 283.613
0.000477307 0.000477307 0.000460614 0.000460614 0.000460614 0.000477307 283.625
