# beta  beta  delta  delta  beta  delta  energy
5.444851099866771754e-19 5.444851099866771754e-19 2.716765315496108297e-03 2.716765315496108297e-03 5.444851099866771754e-19 2.716765315496108297e-03 2.863766382851445655e+02
1.492729107737897607e-18 1.492729107737897607e-18 2.716258907611441772e-03 2.716258907611441772e-03 1.492729107737897607e-18 2.716258907611441772e-03 2.864033042871386101e+02
3.265477979123993329e-18 3.265477979123993329e-18 2.715752635945383256e-03 2.715752635945383256e-03 3.265477979123993329e-18 2.715752635945383256e-03 2.864299702891325978e+02
7.005738594793788164e-18 7.005738594793788164e-18 2.715246500368343266e-03 2.715246500368343266e-03 7.005738594793788164e-18 2.715246500368343266e-03 2.864566362911266424e+02
1.474233215095383313e-17 1.474233215095383313e-17 2.714740500749102982e-03 2.714740500749102982e-03 1.474233215095383313e-17 2.714740500749102982e-03 2.864833022931206301e+02
3.050070612395408377e-17 3.050070612395408377e-17 2.714234636954742687e-03 2.714234636954742687e-03 3.050070612395408377e-17 2.714234636954742687e-03 2.865099682951146747e+02
6.204403989525387134e-17 6.204403989525387134e-17 2.713728908850582787e-03 2.713728908850582787e-03 6.204403989525387134e-17 2.713728908850582787e-03 2.865366342971086624e+02
1.239878688260391244e-16 1.239878688260391244e-16 2.713223316300110519e-03 2.713223316300110519e-03 1.239878688260391244e-16 2.713223316300110519e-03 2.865633002991027070e+02
2.434152630454738811e-16 2.434152630454738811e-16 2.712717859164901889e-03 2.712717859164901889e-03 2.434152630454738811e-16 2.712717859164901889e-03 2.865899663010966947e+02
4.694683051149079681e-16 4.694683051149079681e-16 2.712212537304524527e-03 2.712212537304524527e-03 4.694683051149079681e-16 2.712212537304524527e-03 2.866166323030907392e+02
8.883068240786414373e-16 8.883068240786414373e-16 2.711707350576440106e-03 2.711707350576440106e-03 8.883068240786414373e-16 2.711707350576440106e-03 2.866432983050847270e+02
1.652333660492893016e-15 1.652333660492893016e-15 2.711202298835878582e-03 2.711202298835878582e-03 1.652333660492893016e-15 2.711202298835878582e-03 2.866699643070787715e+02
3.021696840215615359e-15 3.021696840215615359e-15 2.710697381935704611e-03 2.710697381935704611e-03 3.021696840215615359e-15 2.710697381935704611e-03 2.866966303090727592e+02
5.428703679370038722e-15 5.428703679370038722e-15 2.710192599726259262e-03 2.710192599726259262e-03 5.428703679370038722e-15 2.710192599726259262e-03 2.867232963110668038e+02
9.581511823392271728e-15 9.581511823392271728e-15 2.709687952055182640e-03 2.709687952055182640e-03 9.581511823392271728e-15 2.709687952055182640e-03 2.867499623130607915e+02
1.661365164823426915e-14 1.661365164823426915e-14 2.709183438767224800e-03 2.709183438767224800e-03 1.661365164823426915e-14 2.709183438767224800e-03 2.867766283150548361e+02
2.826778985051194962e-14 2.826778985051194962e-14 2.708679059704017199e-03 2.708679059704017199e-03 2.826778985051194962e-14 2.708679059704017199e-03 2.868032943170488807e+02
4.727651190405895598e-14 4.727651190405895598e-14 2.708174814703879704e-03 2.708174814703879704e-03 4.727651190405895598e-14 2.708174814703879704e-03 2.868299603190428684e+02
7.772887606463973049e-14 7.772887606463973049e-14 2.707670703601690494e-03 2.707670703601690494e-03 7.772887606463973049e-14 2.707670703601690494e-03 2.868566263210369129e+02
1.255494029825689436e-13 1.255494029825689436e-13 2.707166726228759420e-03 2.707166726228759420e-03 1.255494029825689436e-13 2.707166726228759420e-03 2.868832923230309007e+02
1.992244934301778685e-13 1.992244934301778685e-13 2.706662882412823670e-03 2.706662882412823670e-03 1.992244934301778685e-13 2.706662882412823670e-03 2.869099583250249452e+02
3.105753304080030966e-13 3.105753304080030966e-13 2.706159171978348744e-03 2.706159171978348744e-03 3.105753304080030966e-13 2.706159171978348744e-03 2.869366243270189329e+02
4.752123656636455552e-13 4.752123656636455552e-13 2.705655594746584399e-03 2.705655594746584399e-03 4.752123656636455552e-13 2.705655594746584399e-03 2.869632903290129775e+02
