# betaPara  betaPerp  deltaPara  deltaPerp  beta  delta  energy
3.126211363959775346e-04 3.126211363959788899e-04 1.884623705928933565e-03 1.864966551381620936e-03 3.126211363959809498e-04 1.758400494847972301e-03 2.809388342849065907e+02
3.137715025990226369e-04 3.137715025990246427e-04 1.882403415489172522e-03 1.862786359598612562e-03 3.137715025990257811e-04 1.755714883225919501e-03 2.809631277255390955e+02
3.149214663149903812e-04 3.149214663149891343e-04 1.880176795721665971e-03 1.860601041859697271e-03 3.149214663149897848e-04 1.753018787445636542e-03 2.809874211661716004e+02
3.160710277010542494e-04 3.160710277010527315e-04 1.877943831087710343e-03 1.858410613270545467e-03 3.160710277010560384e-04 1.750312131312663395e-03 2.810117146068040483e+02
3.172201869143236475e-04 3.172201869143227260e-04 1.875704486880845493e-03 1.856215070739103412e-03 3.172201869143252196e-04 1.747594818214476091e-03 2.810360080474365532e+02
3.183689441118279129e-04 3.183689441118272624e-04 1.873458710859552149e-03 1.854014394646567344e-03 3.183689441118319786e-04 1.744866732719194862e-03 2.810603014880690580e+02
3.195172994505224404e-04 3.195172994505218441e-04 1.871206434661474606e-03 1.851808550302139504e-03 3.195172994505228741e-04 1.742127741955866753e-03 2.810845949287015060e+02
3.206652530873001748e-04 3.206652530872997954e-04 1.868947575021574336e-03 1.849597489199661599e-03 3.206652530873031022e-04 1.739377696795724485e-03 2.811088883693340108e+02
3.218128051789718243e-04 3.218128051789718243e-04 1.866682034830597975e-03 1.847381150125330940e-03 3.218128051789742095e-04 1.736616432875767420e-03 2.811331818099665156e+02
3.229599558822760516e-04 3.229599558822759974e-04 1.864409704041548833e-03 1.845159460105765415e-03 3.229599558822778948e-04 1.733843771465737749e-03 2.811574752505989636e+02
3.241067053538882565e-04 3.241067053538848955e-04 1.862130460461580142e-03 1.842932335250851636e-03 3.241067053538895576e-04 1.731059520221276717e-03 2.811817686912314684e+02
3.252530537504020355e-04 3.252530537504029029e-04 1.859844170425674478e-03 1.840699681477759100e-03 3.252530537504030655e-04 1.728263473817168074e-03 2.812060621318639733e+02
3.263990012283400242e-04 3.263990012283404579e-04 1.857550689378185309e-03 1.838461395142515931e-03 3.263990012283433852e-04 1.725455414486190466e-03 2.812303555724964212e+02
3.275445479441595892e-04 3.275445479441605108e-04 1.855249862366179338e-03 1.836217363595833577e-03 3.275445479441623539e-04 1.722635112470481634e-03 2.812546490131289261e+02
3.286896940542380829e-04 3.286896940542359687e-04 1.852941524458792243e-03 1.833967465654397352e-03 3.286896940542374324e-04 1.719802326394211447e-03 2.812789424537614309e+02
3.298344397148840652e-04 3.298344397148822763e-04 1.850625501101123326e-03 1.831711572020224563e-03 3.298344397148860168e-04 1.716956803572310640e-03 2.813032358943939357e+02
3.309787850823305271e-04 3.309787850823319908e-04 1.848301608402742359e-03 1.829449545631837157e-03 3.309787850823317197e-04 1.714098280250612701e-03 2.813275293350263837e+02
3.321227303127463832e-04 3.321227303127484974e-04 1.845969653372942594e-03 1.827181241971790682e-03 3.321227303127504489e-04 1.711226481791298416e-03 2.813518227756588885e+02
3.332662755622212928e-04 3.332662755622201002e-04 1.843629434113598425e-03 1.824906509325812049e-03 3.332662755622215638e-04 1.708341122814396396e-03 2.813761162162913934e+02
3.344094209867716234e-04 3.344094209867703765e-04 1.841280739956884654e-03 1.822625188997782078e-03 3.344094209867746049e-04 1.705441907282003247e-03 2.814004096569238413e+02
3.355521667423512922e-04 3.355521667423503706e-04 1.838923351565403862e-03 1.820337115494707328e-03 3.355521667423536775e-04 1.702528528544121041e-03 2.814247030975563462e+02
3.366945129848327931e-04 3.366945129848325220e-04 1.836557041000625150e-03 1.818042116669947540e-03 3.366945129848348530e-04 1.699600669348788748e-03 2.814489965381888510e+02
3.378364598700179296e-04 3.378364598700172791e-04 1.834181571751163390e-03 1.815740013843018461e-03 3.378364598700192307e-04 1.696658001811271379e-03 2.814732899788212990e+02
3.389780075536440499e-04 3.389780075536437246e-04 1.831796698719688997e-03 1.813430621887654427e-03 3.389780075536447004e-04 1.693700187342135535e-03 2.814975834194538038e+02
3.401191561913682708e-04 3.401191561913685961e-04 1.829402168198841728e-03 1.811113749292301428e-03 3.401191561913717945e-04 1.690726876555893009e-03 2.815218768600863086e+02
3.412599059387770735e-04 3.412599059387770193e-04 1.826997717803111347e-03 1.808789198201796438e-03 3.412599059387798383e-04 1.687737709139055554e-03 2.815461703007187566e+02
3.424002569513923751e-04 3.424002569513891225e-04 1.824583076370595676e-03 1.806456764433972406e-03 3.424002569513913993e-04 1.684732313684724663e-03 2.815704637413512614e+02
3.435402093846561325e-04 3.435402093846570541e-04 1.822157963854960285e-03 1.804116237477793429e-03 3.435402093846581383e-04 1.681710307511720404e-03 2.815947571819837663e+02
3.446797633939423233e-04 3.446797633939436786e-04 1.819722091172405309e-03 1.801767400465815799e-03 3.446797633939437870e-04 1.678671296439107272e-03 2.816190506226162711e+02
3.458189191345494647e-04 3.458189191345506573e-04 1.817275160035487823e-03 1.799410030137552378e-03 3.458189191345534762e-04 1.675614874543215156e-03 2.816433440632487191e+02
